brand,description,price,url,processor,memory,ssd,gpu,model
Dell,"Dell Pro 16"" Laptop  AMD Ryzen 5 220 AMD Radeon 740M Graphics 16GB RAM 256GB SSD - Windows 11 Pro - 4THRP","$1,349.99 –",https://www.newegg.com/dell-pro-16-16-0-fhd-non-touch-screen-amd-ryzen-5-220-amd-radeon-740m-16gb-memory-256-gb-ssd-magnetite/p/N82E16834817351,AMD Ryzen 5 220,16GB,256GB,AMD Radeon 740M,4THRP
Acer,"Acer Aspire Go 15, 15.6"" Full HD IPS Display, AMD Ryzen 7 7730U Octa-Core Processor, AMD Radeon Graphics, 32GB DDR4 Memory, 1TB PCIe Gen4 SSD, 802.11ax Wi-Fi 6E, Windows 11 Home AG15-42P-R3GM",$699.99 –,https://www.newegg.com/acer-america-aspire-go-15-6-full-hd-ips-amd-ryzen-7-7730u-amd-radeon-7000-series-integrated-gpu-32-gb-memory-1-tb-pcie-gen4-ssd-no-hdd-hdd-steel-gray/p/N82E16834360414,AMD Ryzen 7 7730U,32GB DDR4,1TB NVMe,AMD Radeon Graphics,NX.JQJAA.001
Lenovo,"Lenovo V15 Gen 4 15.6"" Laptop AMD Ryzen 7 7730U 16GB RAM 1TB SSD Windows 11 Home (83CR003UUS)",$599.99 –,https://www.newegg.com/lenovo-15-6-non-touch-screen-amd-ryzen-7-7730u-amd-radeon-graphics-16gb-memory-1-tb-nvme-ssd-business-black/p/N82E16834840737,AMD Ryzen 7 7730U,16GB DDR4,1TB NVMe,AMD Radeon Graphics,83CR003UUS
Lenovo,"Lenovo ThinkPad P14s Gen 6 21QT002RUS 14.5"" Mobile Workstation - Intel Core Ultra 7 255H - 32 GB - 512 GB SSD - Windows 11 Pro - Intel Arc 140T GPU - 5MP Camera - Wi-Fi 7","$2,560.99 –",https://www.newegg.com/lenovo-14-5/p/1TS-000E-1DJP6,Intel Core Ultra 7 255H,32GB DDR5,512GB,Intel Arc 140T GPU,21QT002RUS
ASUS,"ASUS Vivobook 15.6"" FHD Touchscreen Business Laptop Intel core i7-1355U Intel Iris Xe Graphics 40GB RAM 1TB SSD Backlit Keyboard Wi-Fi 6E Bluetooth 5.3 HDMI USB-C Webcam Windows 11 Pro Silver",$989.00 –,https://www.newegg.com/asus-15-6-fhd-touch-screen-intel-core-i7-1355u-intel-iris-xe-graphics-64gb-memory-1-tb-ssd-silver/p/1TS-001A-0BEP0,Intel Core i7-1355U,40GB,1TB,Intel Iris Xe Graphics,HC640012090424
BiTECOOL,"BiTECOOL 15.6-inch FHD IPS Laptop, 32GB RAM 512GB SSD, Intel Pentium Gold 6500Y (up to 3.4GHz), 4 Speakers, 2.4/5G WiFi Bluetooth 5.0, Windows 11 Pro Lightweight Portable Notebook",$279.00 –,https://www.newegg.com/bitecool-15-6/p/1TS-00GJ-00016,Intel Pentium Gold 6500Y,32GB,512GB,,NCS2154Y-32-512-BTC519
Auusda,"Auusda 16"" Laptop AMD Ryzen 7 7840HS, 32GB DDR5 RAM, 1TB NVMe SSD, Windows 11 Pro Computer, Not for Heavy Gaming, Backlit, Fingerprint, Full-Type C, WiFi 6, Bluetooth 5.3, Webcam Switch, Gray",$647.99 –,https://www.newegg.com/exsurf-16-0/p/1TS-00TY-00007,AMD Ryzen™ 7 7840HS,32GB,1TB NVMe,,T160R-7840HS-32+1TB
MSI,MSI Venture 16 AI Touchscreen Laptop Intel Core Ultra 9 285H 32GB RAM 1TB SSD (A2HMTG-015US),"$1,099.00 –",https://www.newegg.com/msi-venture-16-ai-16-fhd-touch-screen-intel-core-ultra-9-285h-intel-arc-graphics-32gb-memory-1-tb-nvme-ssd-gray/p/N82E16834156793,Intel Core Ultra 9 285H,32GB DDR5,1TB NVMe,Intel Arc Graphics,Venture 16 AI A2HMTG-015US
Acer,"Acer Aspire Go 15, 15.6"" Full HD IPS Display, AMD Ryzen 7 7730U Octa-Core Processor, AMD Radeon Graphics, 32GB DDR4 Memory, 1TB PCIe Gen4 SSD, 802.11ax Wi-Fi 6E, Windows 11 Home AG15-42P-R3GM",$699.99 –,https://www.newegg.com/acer-america-aspire-go-15-6-full-hd-ips-amd-ryzen-7-7730u-amd-radeon-7000-series-integrated-gpu-32-gb-memory-1-tb-pcie-gen4-ssd-no-hdd-hdd-steel-gray/p/N82E16834360414?Item=N82E16834360414&cm_sp=SP-_-3233712-_-0-_-3-_-34-360-414-_-laptop-_-laptop-_-9,AMD Ryzen 7 7730U,32GB DDR4,1TB NVMe,AMD Radeon Graphics,NX.JQJAA.001
Lenovo,"Lenovo 15 inch Laptop with Lifetime Office 365 for The Web, 36GB RAM, 1TB SSD + 128GB eMMC Storage, Intel CPU, 10 Key Number Pad, Windows 11 Home, External 64GB USB",$739.00 –,https://www.newegg.com/lenovo-ideapad-15-6-fhd-non-touch-screen-intel-pentium-silver-n6000-intel-uhd-graphics-36gb-ddr4-memory-1tb-pcie-ssd-gray/p/1TS-000E-1E2W5,Intel Pentium Silver N6000,36GB DDR4,1TB PCIe,Intel UHD Graphics,IDEAPAD11775-E_CTO_NBU3
HP,"HP ProBook 4 G1i 14"" Touchscreen Notebook - WUXGA - Intel Core Ultra 7 255U - 16 GB - 512 GB SSD - English Keyboard - Pike Silver - Intel Chip - 1920 x 1200 - Windows 11 Pro - Intel - In-plane Sw","$1,288.99 –",https://www.newegg.com/hp-14-0/p/1TS-000D-1R3M7,,,,,BA7R7UT#ABA
BiTECOOL,"BiTECOOL Laptop Computer 15.6 inch, Intel Quad Core N95, 12GB LPDDR5 RAM 1TB NVMe SSD Laptop with FHD IPS Display, WiFi 5, BT5.0, USB Type C and Fingerprint, 2 Years Warranty, Windows 11 Pro",$299.00 –,https://www.newegg.com/bitecool-15-6/p/1TS-00GJ-00010?Item=9SIBZ0YKFR3414&cm_sp=SP-_-2908035-_-0-_-2-_-9SIBZ0YKFR3414-_-laptop-_-laptop-_-12,Intel Celeron N95,12GB LPDDR5,1TB NVMe SSD,,BTC512-154N-TT
